[  ̚]
[  ̝]
[  ̞]
[  ̟]
[  ̤]
[  ̧]
[  ̮]
[  ̰]
[  ̱]
[´]
[ß]
[á/ə]
[ã]
[ãj]
[ãː]
[ãˤ]
[æ/ja]
[æ/Ø]
[æ/ɑ]
[æ]
[æe̝]
[æfː]
[æi]
[æks]
[æl]
[æm]
[æn]
[ær]
[æs]
[æː]
[æˑ]
[æ̃]
[æ͂]
[ç/x]
[ç/ʃ]
[ç]
[ça]
[çe]
[çi]
[çiˑ]
[ço]
[çu]
[çɒ]
[çʷi]
[é]
[ð/z]
[ð/θ]
[ð]
[ðal]
[ðw]
[ð~z]
[ðˁ]
[ðˤ]
[ð̼]
[ó]
[õ/ũ]
[õ]
[õj]
[õ~ũ]
[õː]
[õˤ]
[Ø/h]
[Ø/ʔ]
[ø]
[øy]
[Ø~t]
[ø~œ]
[øʔ]
[øː]
[øˑ]
[Ęsь]
[ħ/x]
[ħ]
[ħaˑ]
[ħu]
[ħ~h]
[ħ~ʜ]
[ħʷ]
[ĩ]
[ĩː]
[ł]
[ŋ/n]
[ŋ/ŋ]
[ŋ]
[ŋa]
[ŋe]
[ŋg]
[ŋga]
[ŋgʷ]
[ŋk]
[ŋkɔ]
[ŋkʷ]
[ŋm]
[ŋɒ]
[ŋɔ]
[ŋə]
[ŋʷ]
[ŋː]
[ŋ̊]
[ŋ̍]
[ŋ̍g]
[ŋ̍k]
[œ/jo]
[œ/ø]
[œ/ɔ]
[œ]
[œi]
[œu]
[œy]
[œː]
[ũ]
[ũj]
[ũː]
[ǀ]
[ǀʜ]
[ǀʰ]
[ǀˀ]
[ǀᵡ]
[ǁ]
[ǁʜ]
[ǁʰ]
[ǁˀ]
[ǁᵡ]
[ǂ]
[ǂʜ]
[ǂʰ]
[ǂˀ]
[ǂᵡ]
[ǃ]
[ǃʜ]
[ǃʰ]
[ǃˀ]
[ǃᵡ]
[ǝ]
[ǝˑ]
[Ǫsь]
[ǳ]
[ȷ̊]
[Ɂ]
[ɐ]
[ɐi]
[ɐj]
[ɐw]
[ɐ~ə]
[ɑ/-]
[ɑ/a]
[ɑ/ə]
[ɑ:]
[ɑ]
[ɑw]
[ɑ~a]
[ɑː]
[ɑˑ]
[ɑˤ]
[ɑ̃]
[ɒ/a]
[ɒ/o]
[ɒ]
[ɒo̝]
[ɒu]
[ɓ]
[ɓʰ]
[ɔ/o]
[ɔ:]
[ɔ]
[ɔi]
[ɔi̭]
[ɔj]
[ɔk]
[ɔm]
[ɔn]
[ɔp]
[ɔt]
[ɔu]
[ɔuɐ]
[ɔṷ]
[ɔw]
[ɔ~o]
[ɔ~ɵ]
[ɔŋ]
[ɔɐ]
[ɔɛ]
[ɔɨ]
[ɔɪ]
[ɔʊ]
[ɔʔ]
[ɔː]
[ɔˑ]
[ɔ˨]
[ɔ́]
[ɔ̃]
[ɔ̤]
[ɕ]
[ɕa]
[ɕe]
[ɕi]
[ɕu]
[ɕə]
[ɖ]
[ɖa]
[ɖɒ]
[ɖɔ]
[ɖɖ]
[ɖə]
[ɖʰ]
[ɖʱ]
[ɖʱa]
[ɗ]
[ɗiˑ]
[ɘ]
[ə/a]
[ə/i]
[ə]
[əh]
[əi]
[əj]
[əu]
[əw]
[əy]
[ə~ı]
[əŋ]
[əɨ]
[əʊ]
[əʋ]
[əː]
[ə̃]
[ə̤]
[ə̥]
[əⁿ]
[ɛ/a]
[ɛ/e]
[ɛ/ɑ]
[ɛ]
[ɛf]
[ɛi]
[ɛiɐ]
[ɛi̭]
[ɛm]
[ɛn]
[ɛo]
[ɛu]
[ɛṷ]
[ɛ~e]
[ɛ~æ]
[ɛɐ]
[ɛɪ]
[ɛɫ]
[ɛʔ]
[ɛː]
[ɛ́]
[ɛ̃]
[ɛ̤]
[ɜ]
[ɜ͂]
[ɞ/ɔ]
[ɟ]
[ɟa]
[ɟi]
[ɟɒ]
[ɟɔ]
[ɟə]
[ɟʱ]
[ɠ/ɣ]
[ɠ]
[ɠiˑ]
[ɡ]
[ɡa]
[ɡe]
[ɡi]
[ɡja]
[ɡo]
[ɡu]
[ɡʱ]
[ɡʲ]
[ɡʷ]
[ɡʷa]
[ɡʷe]
[ɡ̊]
[ɡ̊s]
[ɡ͡b]
[ɢ/ɣ]
[ɢ]
[ɣ/g]
[ɣ/j]
[ɣ/x]
[ɣ]
[ɣam]
[ɣeː]
[ɣ~ʁ]
[ɣ~ʕ]
[ɣ~ʝ]
[ɣʲ]
[ɣʷ]
[ɤ]
[ɤː]
[ɥi]
[ɦ]
[ɦa]
[ɦaː]
[ɦə]
[ɨ/i]
[ɨ]
[ɨu]
[ɨ~ǝ]
[ɨə]
[ɨː]
[ɨ̃]
[ɨ̤]
[ɨ͂]
[Ɩ/ɫ]
[ɪ/i]
[ɪ/y]
[ɪ/ɛ]
[ɪ]
[ɪks]
[ɪn]
[ɪu]
[ɪ~ĭ]
[ɪ~ɨ]
[ɪɛ]
[ɪː]
[ɬ]
[ɬa]
[ɬe]
[ɬo]
[ɬu]
[ɬʔ]
[ɬː]
[ɭ]
[ɭa]
[ɭɔ]
[ɭə]
[ɮ]
[ɯ]
[ɯa]
[ɯi]
[ɯk]
[ɯn]
[ɯt]
[ɯ~ɨ]
[ɯŋ]
[ɯə]
[ɯəm]
[ɯəp]
[ɯət]
[ɯː]
[ɰa]
[ɰe]
[ɲ/n]
[ɲ/ŋ]
[ɲ]
[ɲa]
[ɲc]
[ɲcɔ]
[ɲĩ]
[ɲɒ]
[ɲɔ]
[ɲə]
[ɲɟ]
[ɲɟa]
[ɲː]
[ɲ̥]
