o:,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
nz,[+, +, -, +, -, -, -, -, -, -, 0, 0, 0, 0]
mja,[+, +, -, 0, -, -, -, +, 0, -, 0, 0, 0, 0]
ʡ~я,[+, -, -, -, -, -, -, -, 0, -, 0, 0, 0, 0]
æi,[-, +, +, 0, +, -, -, -, 0, +, -, +, +, -]
ø,[-, +, +, 0, +, -, -, +, 0, +, -, -, +, -]
hai,[-, -, +, +, -, -, -, -, 0, -, 0, 0, 0, 0]
ra,[+, +, +, 0, +, +, -, -, -, -, 0, 0, 0, 0]
tj,[+, -, -, -, -, -, -, -, -, +, +, -, +, +]
um,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
i̭o,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
çɒ,[+, -, -, -, -, -, -, -, +, +, +, -, +, -]
p*,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
ku,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
hɑː,[-, -, +, +, -, -, -, -, 0, -, 0, 0, 0, 0]
tʰɔ,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ɪɛ,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
dá,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ɸ~p,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
kʰə,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
i~ɪ,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
ð,[+, -, +, +, -, -, -, -, +, -, 0, 0, 0, 0]
a~ə,[-, +, +, 0, +, -, -, -, 0, +, -, -, -, -]
o,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
tw,[+, -, -, -, -, -, -, +, -, -, 0, 0, 0, 0]
øy,[-, +, +, 0, +, -, -, +, 0, +, -, -, +, -]
j~iː,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
ɲc,[+, +, -, -, -, -, -, -, +, +, +, -, +, -]
ɡʲ,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
ej,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
tset,[+, -, -, +, -, -, -, -, -, -, 0, 0, 0, 0]
ɔ̃,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
bi,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
beˑ,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
õ,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
op,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
w̃,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
jə,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
sʰː,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
